area_type,availability,location,total_sqft,bath,balcony,rooms,price
Built-up  Area,1.0,Electronics City Phase 1,940.0,2.0,2.0,2,49.0
Super built-up  Area,0.0,Electronics City Phase 1,1335.0,2.0,2.0,2,67.0
Super built-up  Area,1.0,Electronics City Phase 1,1113.12,2.0,2.0,2,55.0
Built-up  Area,1.0,Electronics City Phase 1,1350.0,3.0,0.0,3,71.0
Super built-up  Area,1.0,Electronics City Phase 1,995.0,2.0,1.0,2,49.8
Built-up  Area,1.0,Electronics City Phase 1,635.0,1.0,0.0,1,26.0
Super built-up  Area,0.0,Electronics City Phase 1,1190.0,2.0,1.0,2,68.0
Super built-up  Area,0.0,Electronics City Phase 1,1450.0,3.0,2.0,3,72.54
Super built-up  Area,1.0,Electronics City Phase 1,360.0,1.0,0.0,1,16.9
Built-up  Area,1.0,Electronics City Phase 1,638.0,1.0,1.0,1,32.0
Super built-up  Area,0.0,Electronics City Phase 1,1175.0,2.0,2.0,2,64.98
Super built-up  Area,1.0,Electronics City Phase 1,585.0,1.0,1.0,1,21.0
Super built-up  Area,0.0,Electronics City Phase 1,1200.0,2.0,2.0,2,59.76
Super built-up  Area,0.0,Electronics City Phase 1,1145.0,2.0,1.0,2,54.0
Super built-up  Area,1.0,Electronics City Phase 1,1125.0,2.0,2.0,2,65.0
Super built-up  Area,1.0,Electronics City Phase 1,1550.0,2.0,2.0,3,82.0
Built-up  Area,1.0,Electronics City Phase 1,865.0,2.0,0.0,2,40.0
Super built-up  Area,1.0,Electronics City Phase 1,1800.0,3.0,2.0,3,93.0
Super built-up  Area,0.0,Electronics City Phase 1,1314.0,2.0,2.0,2,60.0
Super built-up  Area,0.0,Electronics City Phase 1,1170.0,2.0,1.0,2,62.0
Super built-up  Area,0.0,Electronics City Phase 1,1450.0,3.0,2.0,3,79.0
Super built-up  Area,1.0,Electronics City Phase 1,940.0,2.0,1.0,2,48.0
Super built-up  Area,0.0,Electronics City Phase 1,940.0,2.0,1.0,2,44.0
Super built-up  Area,1.0,Electronics City Phase 1,1300.0,2.0,1.0,2,67.0
Built-up  Area,1.0,Electronics City Phase 1,1028.0,2.0,1.0,2,51.0
Super built-up  Area,0.0,Electronics City Phase 1,1205.0,2.0,2.0,2,60.0
Super built-up  Area,0.0,Electronics City Phase 1,1305.0,2.0,1.0,2,67.0
Super built-up  Area,1.0,Electronics City Phase 1,755.0,1.0,0.0,1,30.12
Super built-up  Area,1.0,Electronics City Phase 1,1175.0,2.0,1.0,2,60.0
Super built-up  Area,1.0,Frazer Town,1700.0,3.0,1.0,3,180.0
Super built-up  Area,1.0,Frazer Town,1870.0,3.0,3.0,3,185.0
Super built-up  Area,1.0,Frazer Town,1750.0,3.0,2.0,3,150.0
Super built-up  Area,1.0,Frazer Town,2000.0,3.0,1.0,3,200.0
Built-up  Area,1.0,Frazer Town,3500.0,4.0,2.0,3,330.0
Super built-up  Area,1.0,Frazer Town,2350.0,4.0,3.0,3,285.0
Super built-up  Area,1.0,Frazer Town,1550.0,2.0,2.0,2,140.0
Built-up  Area,1.0,Frazer Town,1900.0,4.0,2.0,3,145.0
Super built-up  Area,1.0,Frazer Town,2560.0,3.0,2.0,3,265.0
Built-up  Area,1.0,Frazer Town,1700.0099999999998,3.0,1.0,3,180.0
Super built-up  Area,1.0,Frazer Town,2400.0,3.0,2.0,3,260.0
Super built-up  Area,1.0,Frazer Town,2560.0,3.0,1.0,3,288.0
Built-up  Area,1.0,Frazer Town,1315.0,2.0,2.0,2,140.0
Super built-up  Area,1.0,Frazer Town,1706.0,3.0,3.0,3,154.0
Built-up  Area,0.0,Frazer Town,2079.0,3.0,3.0,3,220.0
Super built-up  Area,1.0,Frazer Town,3100.0,3.0,1.0,3,400.0
Super built-up  Area,1.0,Frazer Town,5400.0,3.0,2.0,3,400.0
Super built-up  Area,1.0,Frazer Town,1180.0,2.0,1.0,2,105.0
Super built-up  Area,1.0,Frazer Town,2900.0,4.0,2.0,4,325.0
Super built-up  Area,1.0,Frazer Town,1870.0,3.0,3.0,3,180.0
Plot  Area,1.0,Frazer Town,896.0,1.0,0.0,1,100.0
Built-up  Area,1.0,Frazer Town,1420.0,2.0,0.0,2,120.0
Super built-up  Area,1.0,GM Palaya,1820.0,2.0,3.0,3,86.0
Super built-up  Area,0.0,GM Palaya,1225.0,2.0,2.0,2,47.0
Super built-up  Area,0.0,GM Palaya,1140.0,2.0,2.0,2,48.95
Built-up  Area,1.0,GM Palaya,1315.0,2.0,2.0,3,65.0
Super built-up  Area,1.0,GM Palaya,1315.0,3.0,1.0,3,65.0
Super built-up  Area,1.0,GM Palaya,1315.0,3.0,0.0,3,64.0
Built-up  Area,1.0,GM Palaya,1735.0,3.0,2.0,3,70.0
Super built-up  Area,1.0,GM Palaya,1643.0,2.0,2.0,3,70.0
Super built-up  Area,1.0,Garudachar Palya,1325.0,2.0,2.0,3,60.8
Super built-up  Area,1.0,Garudachar Palya,1060.0,2.0,1.0,2,48.7
Super built-up  Area,1.0,Garudachar Palya,1150.0,2.0,1.0,2,52.75
Super built-up  Area,1.0,Garudachar Palya,1295.0,2.0,1.0,3,59.5
Super built-up  Area,1.0,Garudachar Palya,1320.0,2.0,2.0,3,60.6
Super built-up  Area,1.0,Garudachar Palya,1295.0,2.0,2.0,3,59.5
Super built-up  Area,1.0,Garudachar Palya,1150.0,2.0,2.0,2,52.8
Super built-up  Area,1.0,Garudachar Palya,1150.0,2.0,1.0,2,52.8
Super built-up  Area,1.0,Garudachar Palya,1060.0,2.0,1.0,2,48.5
Super built-up  Area,1.0,Garudachar Palya,1150.0,2.0,1.0,2,52.5
Super built-up  Area,1.0,Garudachar Palya,1060.0,2.0,1.0,2,48.66
Super built-up  Area,1.0,Garudachar Palya,1150.0,2.0,2.0,2,52.0
Super built-up  Area,1.0,Garudachar Palya,1154.0,2.0,1.0,2,51.8
Plot  Area,1.0,Giri Nagar,2400.0,4.0,1.0,4,400.0
Plot  Area,1.0,Giri Nagar,1800.0,3.0,2.0,3,252.0
Plot  Area,1.0,Giri Nagar,1350.0,3.0,0.0,3,240.0
Plot  Area,1.0,Giri Nagar,2400.0,4.0,2.0,4,400.0
Built-up  Area,1.0,Giri Nagar,3000.0,4.0,1.0,6,375.0
Plot  Area,1.0,Giri Nagar,2400.0,6.0,1.0,6,400.0
Plot  Area,1.0,Giri Nagar,4000.0,3.0,2.0,4,750.0
Built-up  Area,1.0,Gollarapalya Hosahalli,861.0,2.0,1.0,2,34.5
Super built-up  Area,1.0,Gollarapalya Hosahalli,1408.0,3.0,3.0,3,62.0
Super built-up  Area,1.0,Gollarapalya Hosahalli,1318.0,3.0,1.0,3,54.0
Built-up  Area,1.0,Gollarapalya Hosahalli,861.0,2.0,0.0,2,36.5
Super built-up  Area,1.0,Gollarapalya Hosahalli,1320.0,3.0,2.0,3,60.0
Built-up  Area,1.0,Gollarapalya Hosahalli,1345.0,3.0,2.0,3,60.0
Built-up  Area,1.0,Gollarapalya Hosahalli,1905.0,3.0,1.0,4,86.0
Super built-up  Area,1.0,Gollarapalya Hosahalli,1318.0,3.0,2.0,3,56.0
Super built-up  Area,1.0,Gollarapalya Hosahalli,1129.0,2.0,1.0,2,50.0
Built-up  Area,1.0,Gottigere,1100.0,2.0,2.0,2,40.0
Built-up  Area,1.0,Gottigere,967.0,2.0,3.0,2,45.0
Super built-up  Area,1.0,Gottigere,1618.0,3.0,3.0,3,82.5
Super built-up  Area,1.0,Gottigere,1222.0,2.0,1.0,2,63.0
Super built-up  Area,1.0,Gottigere,1300.0,3.0,3.0,3,65.0
Super built-up  Area,1.0,Gottigere,950.0,2.0,1.0,2,38.0
Super built-up  Area,1.0,Gottigere,1153.0,2.0,1.0,2,48.5
Plot  Area,1.0,Gottigere,812.0,1.0,0.0,1,26.0
Super built-up  Area,1.0,Gottigere,1460.0,2.0,2.0,3,65.0
Super built-up  Area,1.0,Gottigere,1500.0,3.0,2.0,3,70.0
Super built-up  Area,1.0,Gottigere,1621.0,3.0,3.0,3,72.0
Plot  Area,1.0,Gottigere,812.0,1.0,1.0,1,26.0
Super built-up  Area,1.0,Gottigere,990.0,2.0,1.0,2,40.0
Super built-up  Area,1.0,Gottigere,1235.0,2.0,2.0,2,63.0
Super built-up  Area,1.0,Gottigere,1385.0,3.0,2.0,3,64.0
Super built-up  Area,1.0,Gottigere,1000.0,2.0,1.0,2,35.0
Super built-up  Area,1.0,Gottigere,1010.0,2.0,1.0,2,35.0
Super built-up  Area,1.0,Gottigere,1435.0,2.0,3.0,3,62.0
Built-up  Area,1.0,Gottigere,945.0,2.0,0.0,2,45.0
Plot  Area,1.0,Gottigere,2500.0,3.0,2.0,4,120.0
Super built-up  Area,1.0,Gottigere,1230.0,2.0,2.0,3,52.0
Super built-up  Area,1.0,Gottigere,1120.0,2.0,2.0,2,50.0
Super built-up  Area,1.0,Gottigere,1500.0,3.0,2.0,3,63.0
Super built-up  Area,1.0,Gottigere,1200.0,2.0,3.0,2,40.0
Super built-up  Area,1.0,Gottigere,1280.0,2.0,1.0,2,61.0
Super built-up  Area,1.0,Gottigere,1205.0,2.0,1.0,2,56.58
Super built-up  Area,1.0,Gottigere,1170.0,2.0,2.0,2,40.0
Built-up  Area,1.0,Gottigere,3000.0,3.0,0.0,4,132.0
Super built-up  Area,1.0,Gottigere,1613.0,3.0,3.0,3,72.0
Super built-up  Area,1.0,Gottigere,1110.0,2.0,2.0,2,36.25
Super built-up  Area,1.0,Gottigere,1245.0,2.0,2.0,2,59.0
Super built-up  Area,1.0,Gottigere,1200.0,2.0,2.0,2,50.0
Built-up  Area,1.0,Green Glen Layout,1670.0,3.0,2.0,3,120.0
Super built-up  Area,1.0,Green Glen Layout,3250.0,4.0,3.0,4,230.0
Super built-up  Area,1.0,Green Glen Layout,1776.42,3.0,2.0,3,105.0
Super built-up  Area,1.0,Green Glen Layout,3250.0,4.0,1.0,4,230.0
Built-up  Area,1.0,Green Glen Layout,940.0,2.0,1.0,2,56.8
Built-up  Area,1.0,Green Glen Layout,1075.0,2.0,1.0,2,60.0
Super built-up  Area,1.0,Green Glen Layout,1715.0,3.0,2.0,3,115.0
Super built-up  Area,1.0,Green Glen Layout,1751.0,2.0,1.0,3,115.0
Super built-up  Area,1.0,Green Glen Layout,1750.0,3.0,2.0,3,130.0
Super built-up  Area,1.0,Green Glen Layout,1530.0,3.0,2.0,3,105.0
Super built-up  Area,1.0,Green Glen Layout,1752.0,3.0,2.0,3,105.0
Super built-up  Area,1.0,Green Glen Layout,1680.0,4.0,3.0,3,95.0
Super built-up  Area,1.0,Green Glen Layout,1728.0,3.0,2.0,3,125.0
Super built-up  Area,1.0,Green Glen Layout,1645.0,3.0,2.0,3,110.0
Super built-up  Area,1.0,Green Glen Layout,1517.0,3.0,3.0,3,100.0
Super built-up  Area,1.0,Green Glen Layout,3150.0,4.0,3.0,4,218.0
Super built-up  Area,1.0,Green Glen Layout,1750.0,3.0,2.0,3,120.0
Super built-up  Area,1.0,Green Glen Layout,1751.0,3.0,2.0,3,115.0
Super built-up  Area,1.0,Green Glen Layout,1750.0,3.0,2.0,3,105.0
Super built-up  Area,1.0,Green Glen Layout,1885.0,3.0,2.0,3,135.0
Super built-up  Area,1.0,Green Glen Layout,1715.0,3.0,3.0,3,120.0
Super built-up  Area,1.0,Green Glen Layout,1623.29,2.0,2.0,3,105.0
Super built-up  Area,1.0,Green Glen Layout,1715.0,3.0,3.0,3,115.0
Super built-up  Area,1.0,Green Glen Layout,1715.0,3.0,2.0,3,105.0
Built-up  Area,1.0,Green Glen Layout,1600.0,3.0,3.0,3,105.0
Super built-up  Area,1.0,Green Glen Layout,1717.0,3.0,3.0,3,125.0
Built-up  Area,1.0,Green Glen Layout,1250.0,2.0,0.0,2,75.0
Super built-up  Area,1.0,Green Glen Layout,1715.0,3.0,3.0,3,112.0
Super built-up  Area,1.0,Gubbalala,1470.0,2.0,2.0,3,82.0
Super built-up  Area,1.0,Gubbalala,1745.0,3.0,2.0,3,104.0
Super built-up  Area,1.0,Gubbalala,1745.0,3.0,2.0,3,115.0
Super built-up  Area,1.0,Gubbalala,1745.0,3.0,2.0,3,110.0
Super built-up  Area,1.0,Gubbalala,1650.0,3.0,2.0,3,71.0
Built-up  Area,1.0,Gubbalala,2570.0,4.0,1.0,5,141.0
Super built-up  Area,1.0,Gubbalala,1205.0,2.0,2.0,2,70.0
Super built-up  Area,1.0,Gubbalala,1435.0,2.0,2.0,3,80.0
Super built-up  Area,1.0,Gubbalala,1475.0,2.0,2.0,2,80.0
Super built-up  Area,1.0,Gubbalala,1100.0,2.0,2.0,2,49.5
Super built-up  Area,1.0,Gubbalala,1060.0,2.0,1.0,2,46.0
Super built-up  Area,1.0,Gubbalala,2000.0,3.0,3.0,3,125.0
Super built-up  Area,0.0,Gunjur,1140.0,2.0,3.0,2,43.0
Super built-up  Area,1.0,Gunjur,1356.0,2.0,3.0,3,66.0
Built-up  Area,1.0,Gunjur,1600.0,3.0,3.0,3,75.0
Plot  Area,1.0,Gunjur,2000.0,3.0,0.0,4,95.0
Super built-up  Area,0.0,Gunjur,1140.0,2.0,2.0,2,49.11
Super built-up  Area,1.0,Gunjur,1195.0,2.0,2.0,2,44.0
Built-up  Area,1.0,Gunjur,1190.0,2.0,2.0,2,40.0
Built-up  Area,0.0,Gunjur,1457.0,2.0,3.0,2,60.0
Super built-up  Area,1.0,Gunjur,1080.0,2.0,2.0,2,41.0
Super built-up  Area,1.0,Gunjur,1175.0,2.0,2.0,2,43.48
Super built-up  Area,1.0,Gunjur,1362.0,3.0,2.0,3,62.63
Super built-up  Area,1.0,Gunjur,1071.0,2.0,1.0,2,51.0
Super built-up  Area,1.0,Gunjur,1063.0,2.0,2.0,2,40.0
Super built-up  Area,0.0,Gunjur,1235.0,2.0,2.0,2,52.76
Super built-up  Area,1.0,Gunjur,1362.0,3.0,1.0,3,62.63
Super built-up  Area,1.0,Gunjur,1588.0,2.0,3.0,3,90.0
Super built-up  Area,0.0,Gunjur,1235.0,2.0,2.0,2,44.5
Super built-up  Area,1.0,Gunjur,1457.0,2.0,3.0,2,60.0
Super built-up  Area,1.0,HAL 2nd Stage,1490.0,2.0,2.0,3,300.0
Plot  Area,0.0,HAL 2nd Stage,600.0,3.0,2.0,2,145.0
Plot  Area,1.0,HAL 2nd Stage,2700.0,3.0,0.0,3,500.0
Plot  Area,1.0,HAL 2nd Stage,2040.0,4.0,1.0,5,500.0
Built-up  Area,1.0,HBR Layout,2800.0,2.0,0.0,3,200.0
Super built-up  Area,1.0,HBR Layout,1722.0,3.0,1.0,3,95.0
Plot  Area,1.0,HBR Layout,1200.0,4.0,0.0,4,120.0
Super built-up  Area,1.0,HBR Layout,1200.0,2.0,2.0,2,60.0
Super built-up  Area,1.0,HBR Layout,1004.0,2.0,1.0,2,49.0
Built-up  Area,1.0,HBR Layout,1783.0,3.0,2.0,3,125.0
Super built-up  Area,1.0,HBR Layout,1656.0,3.0,2.0,3,90.0
Super built-up  Area,1.0,HBR Layout,1089.0,2.0,1.0,2,60.0
Super built-up  Area,1.0,HBR Layout,1700.0,3.0,1.0,3,110.0
Built-up  Area,1.0,HBR Layout,1198.0,2.0,1.0,2,65.0
Plot  Area,1.0,HBR Layout,1200.0,4.0,2.0,4,115.0
Built-up  Area,1.0,HBR Layout,1200.0,2.0,0.0,2,120.0
Super built-up  Area,1.0,HBR Layout,1832.0,3.0,2.0,3,160.0
Built-up  Area,1.0,HRBR Layout,1374.0,2.0,2.0,2,95.0
Built-up  Area,1.0,HRBR Layout,1440.0,2.0,2.0,2,98.0
Super built-up  Area,1.0,HRBR Layout,2800.0,3.0,2.0,3,250.0
Super built-up  Area,1.0,HRBR Layout,1210.0,2.0,1.0,2,75.0
Super built-up  Area,1.0,HRBR Layout,1265.0,2.0,1.0,2,78.0
Super built-up  Area,1.0,HRBR Layout,1170.0,2.0,2.0,2,75.0
Built-up  Area,1.0,HRBR Layout,1900.0,3.0,1.0,4,90.0
Super built-up  Area,1.0,HRBR Layout,1625.0,3.0,2.0,3,120.0
Super built-up  Area,0.0,HRBR Layout,1301.0,2.0,1.0,2,120.0
Super built-up  Area,1.0,HRBR Layout,1145.0,2.0,2.0,2,68.5
Built-up  Area,1.0,HRBR Layout,1300.0,2.0,3.0,2,90.0
Super built-up  Area,1.0,HSR Layout,1372.0,2.0,1.0,2,68.0
Super built-up  Area,1.0,HSR Layout,1475.0,3.0,2.0,3,75.0
Built-up  Area,1.0,HSR Layout,1467.0,2.0,1.0,2,55.0
Super built-up  Area,1.0,HSR Layout,1140.0,2.0,2.0,2,46.0
Super built-up  Area,1.0,HSR Layout,1372.0,2.0,1.0,2,61.0
Super built-up  Area,1.0,HSR Layout,1750.0,3.0,2.0,3,95.0
Super built-up  Area,1.0,HSR Layout,1027.0,2.0,2.0,2,44.0
Super built-up  Area,1.0,HSR Layout,1650.0,3.0,2.0,3,110.0
Super built-up  Area,1.0,HSR Layout,1185.0,2.0,2.0,2,60.0
Super built-up  Area,1.0,HSR Layout,1127.0,2.0,1.0,2,68.0
Super built-up  Area,1.0,HSR Layout,1600.0,2.0,2.0,3,115.0
Super built-up  Area,1.0,HSR Layout,1145.0,2.0,2.0,2,48.0
Super built-up  Area,1.0,HSR Layout,1009.0,2.0,2.0,2,56.0
Built-up  Area,1.0,HSR Layout,2792.0,4.0,1.0,4,220.0
Super built-up  Area,1.0,HSR Layout,1300.0,2.0,2.0,2,98.0
Built-up  Area,1.0,HSR Layout,1126.0,2.0,1.0,2,69.0
Super built-up  Area,1.0,HSR Layout,1145.0,2.0,2.0,2,46.0
Super built-up  Area,1.0,HSR Layout,1142.0,2.0,2.0,2,65.0
Super built-up  Area,1.0,HSR Layout,2020.0,3.0,2.0,3,160.0
Super built-up  Area,1.0,HSR Layout,1844.0,3.0,3.0,3,95.0
Built-up  Area,1.0,HSR Layout,1203.0,2.0,2.0,2,72.0
Built-up  Area,1.0,HSR Layout,4200.0,5.0,1.0,5,245.0
Built-up  Area,1.0,HSR Layout,1145.0,2.0,2.0,2,46.0
Super built-up  Area,1.0,HSR Layout,1100.0,2.0,2.0,2,44.0
Super built-up  Area,1.0,HSR Layout,1203.0,2.0,2.0,2,60.0
Built-up  Area,1.0,HSR Layout,1120.0,2.0,1.0,2,70.0
Super built-up  Area,1.0,HSR Layout,1289.0,2.0,1.0,2,70.0
Built-up  Area,1.0,HSR Layout,1203.0,2.0,2.0,2,60.0
Super built-up  Area,0.0,Haralur Road,1240.0,2.0,1.0,2,70.0
Super built-up  Area,1.0,Haralur Road,1027.0,2.0,2.0,2,44.0
Plot  Area,1.0,Haralur Road,2650.0,4.0,2.0,4,198.0
Super built-up  Area,1.0,Haralur Road,1194.0,2.0,2.0,2,47.0
Built-up  Area,0.0,Haralur Road,3385.0,5.0,1.0,4,260.0
Built-up  Area,1.0,Haralur Road,1202.0,2.0,1.0,2,53.0
Super built-up  Area,1.0,Haralur Road,1056.0,2.0,1.0,2,61.0
Super built-up  Area,0.0,Haralur Road,1810.0,3.0,2.0,3,100.0
Super built-up  Area,1.0,Haralur Road,1194.0,2.0,2.0,2,46.0
Super built-up  Area,0.0,Haralur Road,1225.0,2.0,1.0,2,67.38
Super built-up  Area,1.0,Haralur Road,1243.0,2.0,1.0,2,46.0
Super built-up  Area,1.0,Haralur Road,1920.0,3.0,1.0,3,115.0
Super built-up  Area,0.0,Haralur Road,1875.0,3.0,2.0,3,110.0
Built-up  Area,1.0,Haralur Road,2750.0,4.0,0.0,4,220.0
Super built-up  Area,1.0,Haralur Road,1140.0,2.0,2.0,2,43.0
Super built-up  Area,1.0,Haralur Road,1194.0,2.0,2.0,2,46.0
Super built-up  Area,1.0,Haralur Road,2017.0,3.0,2.0,3,125.0
Super built-up  Area,0.0,Haralur Road,1875.0,3.0,3.0,3,110.0
Super built-up  Area,1.0,Haralur Road,1092.0,2.0,2.0,2,44.0
Super built-up  Area,1.0,Haralur Road,2475.0,4.0,1.0,3,130.0
Super built-up  Area,1.0,Haralur Road,1300.0,2.0,2.0,2,73.0
Super built-up  Area,1.0,Haralur Road,1243.0,2.0,2.0,2,46.0
Super built-up  Area,1.0,Haralur Road,1850.0,3.0,1.0,3,110.0
Super built-up  Area,0.0,Haralur Road,1225.0,2.0,1.0,2,67.38
Super built-up  Area,1.0,Haralur Road,3400.0,5.0,3.0,4,240.0
Super built-up  Area,1.0,Haralur Road,1464.0,2.0,2.0,2,56.0
Super built-up  Area,0.0,Haralur Road,1230.0,2.0,1.0,2,78.0
Built-up  Area,1.0,Haralur Road,1000.0,2.0,2.0,2,44.0
Super built-up  Area,1.0,Haralur Road,1300.0,2.0,2.0,2,79.0
Super built-up  Area,1.0,Haralur Road,1444.0,2.0,1.0,3,80.0
Built-up  Area,1.0,Haralur Road,1088.0,2.0,1.0,2,68.0
Super built-up  Area,1.0,Haralur Road,1027.0,2.0,1.0,2,44.0
Super built-up  Area,0.0,Haralur Road,1225.0,2.0,1.0,2,70.0
Super built-up  Area,1.0,Haralur Road,1000.0,2.0,1.0,2,78.0
Super built-up  Area,0.0,Haralur Road,1830.0,3.0,2.0,3,101.0
Super built-up  Area,1.0,Haralur Road,1810.0,3.0,2.0,3,126.0
Super built-up  Area,0.0,Haralur Road,1520.0,2.0,2.0,3,96.0
Super built-up  Area,1.0,Haralur Road,1300.0,2.0,2.0,2,75.0
Super built-up  Area,1.0,Haralur Road,2017.0,2.0,2.0,3,125.0
Super built-up  Area,1.0,Haralur Road,1243.0,2.0,2.0,2,46.0
Super built-up  Area,0.0,Haralur Road,2805.0,5.0,3.0,4,160.0
Built-up  Area,1.0,Haralur Road,2017.0,3.0,2.0,3,105.0
Super built-up  Area,0.0,Haralur Road,1520.0,2.0,2.0,3,90.0
Built-up  Area,1.0,Haralur Road,1300.0,2.0,2.0,2,60.0
Super built-up  Area,0.0,Haralur Road,1985.0,3.0,2.0,3,130.0
Super built-up  Area,1.0,Haralur Road,1255.0,2.0,1.0,3,90.0
Super built-up  Area,1.0,Haralur Road,1056.0,2.0,1.0,2,60.0
Super built-up  Area,1.0,Haralur Road,1140.0,2.0,1.0,2,42.0
Super built-up  Area,1.0,Haralur Road,1245.0,2.0,3.0,2,62.0
Built-up  Area,1.0,Haralur Road,1140.0,2.0,2.0,2,58.0
Super built-up  Area,1.0,Haralur Road,1140.0,2.0,2.0,2,42.0
Super built-up  Area,1.0,Haralur Road,1027.0,2.0,2.0,2,43.0
Super built-up  Area,0.0,Haralur Road,1194.0,2.0,2.0,2,47.0
Super built-up  Area,1.0,Haralur Road,1560.0,3.0,1.0,3,90.0
Super built-up  Area,0.0,Haralur Road,1520.0,2.0,2.0,3,85.0
Super built-up  Area,0.0,Haralur Road,1027.0,2.0,2.0,2,44.0
Super built-up  Area,1.0,Haralur Road,1650.0,3.0,3.0,3,100.0
Super built-up  Area,0.0,Haralur Road,1520.0,2.0,2.0,3,96.0
Super built-up  Area,0.0,Haralur Road,1510.0,3.0,2.0,3,83.05
Built-up  Area,1.0,Haralur Road,1056.0,2.0,1.0,2,65.0
Super built-up  Area,0.0,Haralur Road,1810.0,3.0,2.0,3,100.0
Super built-up  Area,0.0,Haralur Road,575.0,1.0,1.0,1,38.0
Super built-up  Area,0.0,Haralur Road,1850.0,3.0,2.0,3,120.0
Super built-up  Area,0.0,Haralur Road,560.0,1.0,1.0,1,45.0
Super built-up  Area,1.0,Haralur Road,1710.0,3.0,2.0,3,85.0
Super built-up  Area,1.0,Haralur Road,1730.0,3.0,1.0,3,95.0
Super built-up  Area,1.0,Haralur Road,1817.0,3.0,2.0,3,110.0
Super built-up  Area,0.0,Haralur Road,1225.0,2.0,1.0,2,77.0
Super built-up  Area,1.0,Haralur Road,1285.0,2.0,1.0,2,78.0
Super built-up  Area,0.0,Haralur Road,1225.0,2.0,1.0,2,67.48
Super built-up  Area,0.0,Haralur Road,1225.0,2.0,1.0,2,69.84
Super built-up  Area,1.0,Haralur Road,1200.0,2.0,2.0,2,46.0
Super built-up  Area,1.0,Haralur Road,1315.0,2.0,1.0,2,85.0
Built-up  Area,1.0,Haralur Road,4694.0,5.0,1.0,4,375.0
Super built-up  Area,1.0,Haralur Road,1309.0,2.0,1.0,2,82.0
Super built-up  Area,1.0,Haralur Road,1027.0,1.0,2.0,2,44.0
Super built-up  Area,1.0,Haralur Road,1300.0,2.0,1.0,2,75.0
Super built-up  Area,0.0,Haralur Road,1230.0,2.0,1.0,2,67.65
Super built-up  Area,1.0,Haralur Road,1255.0,3.0,1.0,3,90.0
Super built-up  Area,1.0,Haralur Road,1735.0,3.0,2.0,3,97.0
Super built-up  Area,0.0,Haralur Road,1810.0,3.0,2.0,3,97.83
Super built-up  Area,1.0,Haralur Road,1200.0,2.0,2.0,2,46.0
Super built-up  Area,0.0,Haralur Road,1810.0,3.0,2.0,3,112.0
Super built-up  Area,1.0,Harlur,1508.0,2.0,1.0,2,77.0
Super built-up  Area,1.0,Harlur,1752.12,3.0,2.0,3,135.0
Super built-up  Area,1.0,Harlur,1709.0,3.0,2.0,3,150.0
Super built-up  Area,1.0,Harlur,1174.0,2.0,1.0,2,69.0
Super built-up  Area,1.0,Harlur,1033.0,2.0,2.0,2,49.0
Built-up  Area,1.0,Harlur,1197.0,2.0,1.0,2,84.0
Super built-up  Area,1.0,Harlur,1757.0,3.0,2.0,3,132.0
Super built-up  Area,1.0,Harlur,1174.0,2.0,1.0,2,76.0
Super built-up  Area,1.0,Harlur,1754.0,3.0,2.0,3,125.0
Super built-up  Area,1.0,Harlur,1290.0,2.0,1.0,2,85.0
Super built-up  Area,1.0,Harlur,1752.12,3.0,2.0,3,116.0
Super built-up  Area,1.0,Harlur,1754.0,3.0,2.0,3,135.0
Super built-up  Area,1.0,Harlur,1754.0,3.0,2.0,3,124.0
Super built-up  Area,1.0,Harlur,1152.0,2.0,2.0,2,69.0
Super built-up  Area,1.0,Harlur,1290.0,2.0,1.0,2,87.0
Super built-up  Area,1.0,Harlur,1749.0,3.0,2.0,3,115.0
Built-up  Area,0.0,Harlur,3385.0,4.0,1.0,4,260.0
Super built-up  Area,1.0,Harlur,1758.0,3.0,2.0,3,133.0
Super built-up  Area,1.0,Harlur,1197.0,2.0,1.0,2,79.0
Super built-up  Area,1.0,Harlur,1174.0,2.0,1.0,2,78.0
Super built-up  Area,1.0,Harlur,1200.0,2.0,2.0,2,52.0
Super built-up  Area,0.0,Harlur,1197.0,2.0,1.0,2,79.0
Super built-up  Area,1.0,Harlur,1749.0,3.0,2.0,3,112.0
Super built-up  Area,1.0,Harlur,1174.0,2.0,1.0,2,75.0
Super built-up  Area,1.0,Harlur,1750.0,3.0,2.0,3,136.0
Super built-up  Area,1.0,Harlur,1620.0,3.0,1.0,3,110.0
Super built-up  Area,1.0,Harlur,1459.0,3.0,2.0,3,135.0
Super built-up  Area,1.0,Harlur,1762.0,3.0,2.0,3,133.0
Super built-up  Area,1.0,Harlur,1756.0,3.0,2.0,3,131.0
Super built-up  Area,1.0,Harlur,1755.0,3.0,2.0,3,130.0
Super built-up  Area,1.0,Harlur,1864.0,3.0,1.0,3,140.0
Super built-up  Area,1.0,Harlur,1331.0,2.0,1.0,2,88.0
Super built-up  Area,1.0,Harlur,1752.12,3.0,2.0,3,133.0
Built-up  Area,1.0,Harlur,1133.0,2.0,1.0,2,55.0
Super built-up  Area,1.0,Harlur,1756.0,3.0,2.0,3,128.0
Super built-up  Area,1.0,Harlur,1749.0,3.0,2.0,3,120.0
Built-up  Area,1.0,Harlur,1197.0,2.0,1.0,2,82.0
Super built-up  Area,1.0,Harlur,1303.0,2.0,1.0,2,90.0
Super built-up  Area,1.0,Harlur,1754.0,3.0,2.0,3,132.0
